juv,mum,sex,start,end,mum_juv_year,mj.gg,mj.gm,mj.rc
ropa,robe,M,2010-12-20,2011-12-20,2,0.044430538172715896,0.044013350020859404,0.040467250730079264
ropa,robe,M,2011-12-20,2012-12-19,3,0.028517110266159697,0.02703844528939586,0.0122517955217575
ropa,robe,M,2012-12-19,2013-12-19,4,0.03416856492027335,0.03271898943880721,0.024021536550010353
ropa,robe,M,2013-12-19,2014-12-19,5,0.017485822306238186,0.011578449905482041,0.006852551984877127
ropa,robe,M,2014-12-19,2015-08-01,6,0.007692307692307693,0.006923076923076923,0.007307692307692308
ruki,rave,M,2011-02-21,2012-02-21,1,0.00951335528723015,0.00951335528723015,0.2839370654957922
ruki,rave,M,2012-02-21,2013-02-20,2,0.05937893411665967,0.0585396558959295,0.03147293327738145
ruki,rave,M,2013-02-20,2014-02-20,3,0.06708369283865401,0.06190681622088007,0.05176876617773943
ruki,rave,M,2014-02-20,2015-02-20,4,0.053244180287270924,0.04358593363051015,0.021545319465081723
ruki,rave,M,2015-02-20,2015-08-01,5,0.03446528129751647,0.026862645717181957,0.02483527622909275
safi,saph,F,2013-02-25,2014-02-25,1,0.004505470928985196,0.004505470928985196,0.17335335764857326
safi,saph,F,2014-02-25,2015-02-25,2,0.019315403422982887,0.018092909535452322,0.02444987775061125
safi,saph,F,2015-02-25,2015-08-01,3,0.038619979402677654,0.023171987641606592,0.01956745623069001
sevi,sava,F,2013-04-08,2014-04-08,1,0.026196146352024247,0.02597964927473479,0.3072093526737389
sevi,sava,F,2014-04-08,2015-04-08,2,0.027917505030181086,0.025653923541247486,0.028923541247484908
sevi,sava,F,2015-04-08,2015-08-01,3,0.005457025920873124,0,0
spad,spik,F,2010-01-18,2011-01-18,1,0.016692632984642776,0.016692632984642776,0.2314711773870465
spad,spik,F,2011-01-18,2012-01-18,2,0.04566596194503171,0.0427061310782241,0.02684989429175476
spad,spik,F,2012-01-18,2013-01-17,3,0.03484247861464636,0.02983517629876904,0.012518255789693303
spad,spik,F,2013-01-17,2014-01-17,4,0.006017846026146504,0.0035277028429134675,0.010375596596804317
spad,spik,F,2014-01-17,2015-01-17,5,0.02552588040652328,0.013944693925785866,0.014890096903805246
spad,spik,F,2015-01-17,2015-08-01,6,0.009795191451469279,0.006678539626001781,0.006233303650934996
spor,spik,F,2013-09-07,2014-09-07,1,0.007470885519666007,0.007470885519666007,0.25488903537684027
spor,spik,F,2014-09-07,2015-08-01,2,0.027575020275750203,0.02703433360367667,0.046228710462287104
stel,sput,F,2013-05-07,2014-05-07,1,0.007534533277521975,0.007534533277521975,0.23817496860611134
stel,sput,F,2014-05-07,2015-05-07,2,0.0341542750929368,0.03136617100371747,0.03485130111524164
stel,sput,F,2015-05-07,2015-08-01,3,0.05060728744939271,0.030364372469635626,0.019230769230769232
stre,sput,F,2009-03-04,2010-03-04,1,0.00693022523232005,0.00693022523232005,0.30571743581666405
